Stream Trained,Job Role,Placement Number,Placement: Resource: Full Name,Operating Location Name,FDM Office,Start Date,End Date,Degree Classification,University of Study,Degree Subject
PMO,PMO,216,First Name Surname 216,Newcastle,London,07/04/2014,06/04/2016,2:1,University of Essex,Business and Management Studies
Development (.Net),Consulting,217,First Name Surname 217,Edinburgh,Leeds,07/04/2014,06/04/2016,2:1,University of Portsmouth,Mechanical Engineering
PMO,PMO,204,First Name Surname 204,Edinburgh,London,07/04/2014,06/04/2016,2:2,De Montfort University,Classics and Ancient History
Data Analyst,Data Services,229,First Name Surname 229,Leeds Centre,London,09/04/2014,31/12/2015,2:2,University of Leicester,Forensic Computing
Infrastructure,Support,208,First Name Surname 208,Newcastle,London,11/04/2014,08/04/2016,3,Swansea University,Mechanical Engineering
PMO,PMO,181,First Name Surname 181,Moorgate,London,14/04/2014,11/12/2015,2:1,University of Essex,Civil Engineering
Development (Java),Consulting,221,First Name Surname 221,Birmingham New Street,Leeds,14/04/2014,31/12/2015,2:2,University of Central Lancashire,Civil Engineering
Application Support,Support,209,First Name Surname 209,Moorgate,London,14/04/2014,06/04/2016,2:1,University of Leicester,Economics
Development (Java),Consulting,214,First Name Surname 214,Birmingham New Street,London,14/04/2014,11/04/2016,2:1,University of Sheffield,Electrical and Electronic Engineering
Testing,Testing,236,First Name Surname 236,Oxford Circus,London,14/04/2014,13/04/2016,2:1,London School of Economics and Politics,Economics
Testing,Testing,237,First Name Surname 237,Oxford Circus,London,14/04/2014,13/04/2016,2:1,Loughbourgh University,Business and Management Studies
Testing,Testing,223,First Name Surname 223,Birmingham New Street,Leeds,15/04/2014,31/12/2015,2:1,University of Portsmouth,Civil Engineering
Application Support,Testing,224,First Name Surname 224,Birmingham New Street,Leeds,15/04/2014,31/12/2015,3,Manchester Metropolitan University,Business and Management Studies
Application Support,Testing,225,First Name Surname 225,Birmingham New Street,Leeds,15/04/2014,31/12/2015,1,University of Essex,History
Testing,Testing,226,First Name Surname 226,Birmingham New Street,Leeds,15/04/2014,31/12/2015,2:1,London Metropolitan University,Politics
Testing,Testing,227,First Name Surname 227,Birmingham New Street,Leeds,15/04/2014,31/12/2015,2:2,Coventry University,Computer Science
Testing,Testing,240,First Name Surname 240,Birmingham New Street,Leeds,15/04/2014,31/12/2015,2:2,University of Nottingham,Physics and Astronomy
Testing,Testing,243,First Name Surname 243,Birmingham New Street,Leeds,22/04/2014,31/12/2015,2:2,University of St Andrews,History
Application Support,Support,220,First Name Surname 220,Birmingham New Street,London,22/04/2014,01/01/2016,3,Loughbourgh University,Chemistry
MX.3 Support,Support,254,First Name Surname 254,Moorgate,South Africa,22/04/2014,21/04/2016,2:2,University of East Anglia,Physics and Astronomy
MX.3 Support,Support,255,First Name Surname 255,Moorgate,South Africa,22/04/2014,21/04/2016,2:1,University of Salford,English
MX.3 Support,Testing,256,First Name Surname 256,Edinburgh,South Africa,22/04/2014,21/04/2016,2:1,University of Leicester,Biological Sciences
MX.3 Support,Support,257,First Name Surname 257,Edinburgh,South Africa,22/04/2014,21/04/2016,1,University of Brighton,Business and Management Studies
Testing,Testing,241,First Name Surname 241,Birmingham New Street,Leeds,28/04/2014,18/12/2015,1,University of Sheffield,Chemical Engineering
PMO,PMO,228,First Name Surname 228,Birmingham New Street,London,28/04/2014,31/12/2015,2:1,University of Chester,Accounting and Finance
Testing,Testing,219,First Name Surname 219,Leeds Centre,London,28/04/2014,31/03/2016,2:1,University of York,Mechanical Engineering
Development (Java),Consulting,210,First Name Surname 210,Moorgate,London,28/04/2014,27/04/2016,3,London Metropolitan University,Aeronautical Engineering
Application Support,Consulting,211,First Name Surname 211,Moorgate,London,28/04/2014,27/04/2016,3,University of Central Lancashire,History
Data Analyst,PMO,242,First Name Surname 242,Newcastle,London,06/05/2014,05/05/2016,2:1,Nottingham Trent University,Computer Science
PMO,PMO,203,First Name Surname 203,Edinburgh,London,06/05/2014,05/05/2016,3,University of Salford,Economics
PMO,PMO,205,First Name Surname 205,Edinburgh,London,06/05/2014,05/05/2016,2:1,University of Sheffield,Aeronautical Engineering
PMO,PMO,206,First Name Surname 206,Edinburgh,London,06/05/2014,05/05/2016,2:2,University of Leeds,Computer Science
Development (Java),Consulting,258,First Name Surname 258,Birmingham New Street,South Africa,08/05/2014,04/05/2016,1,University of Salford,Computer Science
Development (Java),Business Intelligence,230,First Name Surname 230,Birmingham New Street,London,12/05/2014,31/12/2015,2:2,London School of Economics and Politics,Mathematics
Testing,Testing,268,First Name Surname 268,Birmingham New Street,Leeds,12/05/2014,31/12/2015,3,Cardiff University,Accounting and Finance
Development (Java),Consulting,248,First Name Surname 248,Birmingham New Street,London,12/05/2014,11/05/2016,2:1,University of Essex,Aeronautical Engineering
Development (Java),Consulting,270,First Name Surname 270,Edinburgh,South Africa,12/05/2014,11/05/2016,2:2,University of Abertay,Mechanical Engineering
PMO,PMO,262,First Name Surname 262,Edinburgh,Leeds,15/05/2014,14/05/2016,2:1,Glasgow Caledonian University,Computer Science
Development (Java),Consulting,244,First Name Surname 244,Oxford Circus,Leeds,19/05/2014,18/05/2016,2:2,University of East Anglia,Forensic Computing
Development (Java),Consulting,245,First Name Surname 245,Oxford Circus,Leeds,19/05/2014,18/05/2016,2:1,University of Abertay,Politics
Development (Java),Consulting,246,First Name Surname 246,Oxford Circus,Leeds,19/05/2014,18/05/2016,2:2,Swansea University,Politics
Development (Java),Consulting,274,First Name Surname 274,Leeds Centre,London,19/05/2014,18/05/2016,2:2,University College London,Chemistry
PMO,PMO,251,First Name Surname 251,Edinburgh,London,19/05/2014,18/05/2016,2:1,University of Chester,Physics and Astronomy
PMO,PMO,252,First Name Surname 252,Edinburgh,London,19/05/2014,18/05/2016,3,De Montfort University,Aeronautical Engineering
PMO,PMO,253,First Name Surname 253,Edinburgh,London,19/05/2014,18/05/2016,2:2,Open University,Economics
PMO,PMO,281,First Name Surname 281,Edinburgh,London,19/05/2014,18/05/2016,2:1,University of Nottingham,Business and Management Studies
PMO,PMO,282,First Name Surname 282,Edinburgh,London,19/05/2014,18/05/2016,2:1,University of Warwick,Classics and Ancient History
PMO,Support,249,First Name Surname 249,Edinburgh,Leeds,19/05/2014,18/05/2016,1,University of Chester,Aeronautical Engineering
Data Analyst,Support,250,First Name Surname 250,Edinburgh,Leeds,19/05/2014,18/05/2016,2:1,Newcastle University ,Forensic Computing
Data Analyst,Data Services,260,First Name Surname 260,Edinburgh,Leeds,19/05/2014,18/05/2016,2:1,London School of Economics and Politics,Economics
Data Analyst,Data Services,261,First Name Surname 261,Edinburgh,Leeds,19/05/2014,18/05/2016,2:1,University of Warwick,Physics and Astronomy
PMO,PMO,259,First Name Surname 259,Leeds Centre,London,19/05/2014,30/06/2016,3,University of Essex,History
Development (Java),Consulting,247,First Name Surname 247,Newcastle,London,21/05/2014,17/05/2016,2:1,University of Huddersfield,English
Testing,Testing,269,First Name Surname 269,Birmingham New Street,Leeds,26/05/2014,31/12/2015,2:2,Bangor University,Accounting and Finance
Application Support,Consulting,215,First Name Surname 215,Birmingham New Street,London,27/05/2014,31/12/2015,2:2,University of Glasgow,Electrical and Electronic Engineering
Application Support,Support,275,First Name Surname 275,Newcastle,London,27/05/2014,26/05/2016,2:2,University of Liverpool,Computer Science
Infrastructure,Support,292,First Name Surname 292,Birmingham New Street,London,02/06/2014,31/12/2015,3,University College London,Electrical and Electronic Engineering
Testing,Testing,264,First Name Surname 264,Birmingham New Street,Glasgow,02/06/2014,31/12/2015,2:1,University of Central Lancashire,Politics
Testing,Testing,265,First Name Surname 265,Birmingham New Street,Glasgow,02/06/2014,31/12/2015,2:2,University of St Andrews,Geography and Environmental Sciences
Testing,Testing,266,First Name Surname 266,Birmingham New Street,Glasgow,02/06/2014,31/12/2015,2:1,Nottingham Trent University,Computer Science
Testing,Testing,267,First Name Surname 267,Birmingham New Street,Glasgow,02/06/2014,31/12/2015,2:1,Nottingham Trent University,Electrical and Electronic Engineering
PMO,Testing,296,First Name Surname 296,Leeds Centre,London,02/06/2014,31/03/2016,1,University of Portsmouth,Mathematics
PMO,PMO,272,First Name Surname 272,Oxford Circus,Leeds,02/06/2014,01/06/2016,2:2,University of Essex,Computer Science
Development (Java),Consulting,213,First Name Surname 213,Birmingham New Street,London,02/06/2014,01/06/2016,2:1,Loughbourgh University,Economics
PMO,PMO,273,First Name Surname 273,Edinburgh,Leeds,02/06/2014,01/06/2016,2:1,London Metropolitan University,Games Design
Testing,Testing,293,First Name Surname 293,Oxford Circus,London,09/06/2014,27/11/2015,2:1,University of Manchester,Computer Science
Data Analyst,Data Services,295,First Name Surname 295,Leeds Centre,London,09/06/2014,18/12/2015,2:1,University of Leeds,Economics
Development (Java),Business Intelligence,231,First Name Surname 231,Birmingham New Street,London,09/06/2014,31/12/2015,2:1,Nottingham Trent University,Chemistry
Development (Java),Business Intelligence,232,First Name Surname 232,Birmingham New Street,London,09/06/2014,31/12/2015,2:1,University of Leicester,Civil Engineering
Development (Java),Business Intelligence,233,First Name Surname 233,Birmingham New Street,London,09/06/2014,31/12/2015,2:1,University of Essex,Computer Science
Application Support,Business Intelligence,234,First Name Surname 234,Birmingham New Street,London,09/06/2014,31/12/2015,1,University of Reading,Business and Management Studies
Development (Java),Business Intelligence,235,First Name Surname 235,Birmingham New Street,London,09/06/2014,31/12/2015,3,University of St Andrews,Business and Management Studies
Data Analyst,Data Services,294,First Name Surname 294,Leeds Centre,London,09/06/2014,04/01/2016,3,University of Nottingham,English
Data Analyst,Data Services,280,First Name Surname 280,Moorgate,London,09/06/2014,12/01/2016,2:2,University of Leeds,English
Development (Java),Consulting,212,First Name Surname 212,Birmingham New Street,London,09/06/2014,29/02/2016,2:2,University of Leeds,Electrical and Electronic Engineering
PMO,PMO,287,First Name Surname 287,Moorgate,London,09/06/2014,31/05/2016,2:2,University of York,Computer Science
Data Analyst,Data Services,291,First Name Surname 291,Leeds Centre,London,09/06/2014,06/06/2016,2:2,University of East Anglia,Computer Science
PMO,PMO,290,First Name Surname 290,Leeds Centre,London,11/06/2014,31/12/2015,3,Cardiff University,Business and Management Studies
PMO,PMO,276,First Name Surname 276,Leeds Centre,London,12/06/2014,31/03/2016,2:1,University of Essex,Mechanical Engineering
PMO,PMO,277,First Name Surname 277,Leeds Centre,London,12/06/2014,31/03/2016,2:2,University of Portsmouth,Mechanical Engineering
Development (.Net),Support,297,First Name Surname 297,Leeds Centre,London,16/06/2014,31/03/2016,1,University of Glasgow,Modern Languages
PMO,Support,298,First Name Surname 298,Leeds Centre,London,16/06/2014,31/03/2016,2:1,Coventry University,Chemical Engineering
Development (Java),Support,239,First Name Surname 239,Birmingham New Street,London,16/06/2014,15/06/2016,3,London Metropolitan University,Accounting and Finance
Application Support,Support,288,First Name Surname 288,Oxford Circus,London,18/06/2014,18/12/2015,2:1,London School of Economics and Politics,English
Development (Java),Support,396,First Name Surname 396,Leeds Centre,London,19/06/2014,16/03/2016,2:1,University of Portsmouth,Geography and Environmental Sciences
PMO,PMO,299,First Name Surname 299,Oxford Circus,Leeds,23/06/2014,22/06/2016,1,University of Glasgow,Forensic Computing
Data Analyst,PMO,289,First Name Surname 289,Newcastle,London,23/06/2014,22/06/2016,3,University College London,Physics and Astronomy
MX.3 Support,Support,271,First Name Surname 271,Leeds Centre,London,26/06/2014,26/06/2016,2:2,University of East Anglia,Physics and Astronomy
Testing,Testing,283,First Name Surname 283,Birmingham New Street,Ireland,30/06/2014,07/12/2015,2:1,University of Leicester,Physics and Astronomy
Testing,Testing,284,First Name Surname 284,Birmingham New Street,Ireland,30/06/2014,07/12/2015,2:2,University of Glasgow,Electrical and Electronic Engineering
Development (Java),Consulting,303,First Name Surname 303,Birmingham New Street,London,01/07/2014,29/02/2016,3,University of Reading,Economics
Data Analyst,Data Services,306,First Name Surname 306,Newcastle,London,01/07/2014,30/06/2016,2:1,University College London,Politics
Testing,Testing,285,First Name Surname 285,Birmingham New Street,London,02/07/2014,31/12/2015,2:1,Swansea University,Accounting and Finance
Data Analyst,Testing,286,First Name Surname 286,Birmingham New Street,London,02/07/2014,31/12/2015,3,University of Abertay,Electrical and Electronic Engineering
PMO,PMO,312,First Name Surname 312,Oxford Circus,London,07/07/2014,29/11/2015,3,University College London,Forensic Computing
Data Analyst,Data Services,322,First Name Surname 322,Leeds Centre,London,07/07/2014,31/12/2015,2:2,London School of Economics and Politics,Physics and Astronomy
Data Analyst,Data Services,309,First Name Surname 309,Leeds Centre,London,07/07/2014,09/03/2016,2:2,De Montfort University,Classics and Ancient History
Development (Java),Consulting,278,First Name Surname 278,Birmingham New Street,Leeds,07/07/2014,15/04/2016,2:1,University of Nottingham,Civil Engineering
Development (Java),Consulting,279,First Name Surname 279,Birmingham New Street,Leeds,07/07/2014,15/04/2016,3,University of Salford,Aeronautical Engineering
MX.3 Support,Data Services,313,First Name Surname 313,Moorgate,London,07/07/2014,06/07/2016,2:1,University of Leeds,Modern Languages
Development (Java),Support,323,First Name Surname 323,Leeds Centre,London,09/07/2014,31/12/2015,2:1,University College London,Civil Engineering
